Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JAN-2024,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22
02-JAN-2024,14.68,15.08,14.2425,14.58,14.68,-0.10,-0.68
03-JAN-2024,14.58,14.78,14.0225,14.0975,14.58,-0.48,-3.31
04-JAN-2024,14.0975,14.2075,13.2125,13.33,14.0975,-0.77,-5.44
05-JAN-2024,13.33,13.4675,12.4875,12.63,13.33,-0.70,-5.25
08-JAN-2024,12.63,13.595,12.63,13.4625,12.63,0.83,6.59
09-JAN-2024,13.4625,13.505,12.775,13.2625,13.4625,-0.20,-1.49
10-JAN-2024,13.2625,14.5575,12.81,12.97,13.2625,-0.29,-2.21
11-JAN-2024,12.97,13.19,12.63,12.7675,12.97,-0.20,-1.56
12-JAN-2024,12.7675,13.285,12.42,13.1,12.7675,0.33,2.60
15-JAN-2024,13.1,13.885,11.7875,13.785,13.1,0.69,5.23
16-JAN-2024,13.785,14.0425,12.485,13.5725,13.785,-0.21,-1.54
17-JAN-2024,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
18-JAN-2024,15.08,15.705,12.98,14.07,15.08,-1.01,-6.70
19-JAN-2024,14.07,14.1125,13.6775,13.8775,14.07,-0.19,-1.37
20-JAN-2024,13.8775,14.2475,13.0975,13.8025,13.8775,-0.08,-0.54
23-JAN-2024,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61
24-JAN-2024,14.8525,15.6475,14.03,14.375,14.8525,-0.48,-3.21
25-JAN-2024,14.375,15.3375,13.36,13.865,14.375,-0.51,-3.55
29-JAN-2024,13.865,15.8475,13.795,15.68,13.865,1.82,13.09
30-JAN-2024,15.68,16.575,14.9875,16.1025,15.68,0.42,2.69
31-JAN-2024,16.1025,16.5325,15.8,16.0475,16.1025,-0.06,-0.34
01-FEB-2024,16.0475,16.1075,14.36,14.455,16.0475,-1.59,-9.92
02-FEB-2024,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68
05-FEB-2024,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
06-FEB-2024,15.6175,15.9825,15.0875,15.785,15.6175,0.17,1.07
07-FEB-2024,15.785,16.0175,14.74,15.505,15.785,-0.28,-1.77
08-FEB-2024,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08
09-FEB-2024,15.8275,16.3325,15.265,15.4475,15.8275,-0.38,-2.40
12-FEB-2024,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98
13-FEB-2024,16.0625,16.57,15.7525,15.8075,16.0625,-0.26,-1.59
14-FEB-2024,15.8075,16.1975,15.34,15.435,15.8075,-0.37,-2.36
15-FEB-2024,15.435,15.6625,15.1125,15.225,15.435,-0.21,-1.36
16-FEB-2024,15.225,15.5525,14.9025,15.2225,15.225,0.00,-0.02
19-FEB-2024,15.2225,16.1175,13.7,16.0175,15.2225,0.80,5.22
20-FEB-2024,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34
21-FEB-2024,16.0725,16.31,15.68,15.9275,16.0725,-0.15,-0.90
22-FEB-2024,15.9275,16.15,15.1325,15.1975,15.9275,-0.73,-4.58
23-FEB-2024,15.1975,15.4425,14.84,14.9725,15.1975,-0.23,-1.48
26-FEB-2024,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
27-FEB-2024,15.6,15.9975,15.53,15.7275,15.6,0.13,0.82
28-FEB-2024,15.7275,16.74,15.31,16.33,15.7275,0.60,3.83
29-FEB-2024,16.33,16.5525,15.37,15.5725,16.33,-0.76,-4.64
