timestamp,open,high,low,close,volume
2025-09-10 11:35:00+05:30,24992.2,24997.85,24988.95,24997.3,0.0
2025-09-10 11:30:00+05:30,24989.45,24992.25,24982.2,24992.15,0.0
2025-09-10 11:25:00+05:30,24993.3,24995.6,24986.65,24989.5,0.0
2025-09-10 11:20:00+05:30,24981.35,24994.05,24967.95,24993.55,0.0
2025-09-10 11:15:00+05:30,25012.85,25014.35,24979.85,24981.2,0.0
2025-09-10 11:10:00+05:30,25025.85,25027.35,25010.85,25013.1,0.0
2025-09-10 11:05:00+05:30,25019.85,25027.85,25016.25,25025.95,0.0
2025-09-10 11:00:00+05:30,25012.2,25020.25,25011.3,25019.1,0.0
2025-09-10 10:55:00+05:30,25008.6,25012.75,25004.3,25012.15,0.0
2025-09-10 10:50:00+05:30,24996.85,25008.9,24992.55,25008.65,0.0
2025-09-10 10:45:00+05:30,25001.4,25001.4,24990.35,24996.15,0.0
2025-09-10 10:40:00+05:30,25009.9,25012.6,24997.8,25001.35,0.0
2025-09-10 10:35:00+05:30,25018.6,25023.15,25008.05,25010.4,0.0
2025-09-10 10:30:00+05:30,25028.65,25035.7,25017.0,25018.25,0.0
2025-09-10 10:25:00+05:30,25009.15,25033.35,25008.7,25029.1,0.0
2025-09-10 10:20:00+05:30,25008.95,25014.45,25006.95,25009.7,0.0
2025-09-10 10:15:00+05:30,25004.3,25010.6,25002.0,25008.7,0.0
2025-09-10 10:10:00+05:30,25003.8,25007.8,24999.9,25005.45,0.0
2025-09-10 10:05:00+05:30,25006.5,25013.75,25002.25,25003.75,0.0
2025-09-10 10:00:00+05:30,25000.45,25010.65,25000.45,25006.45,0.0
2025-09-10 09:55:00+05:30,24993.55,25007.05,24992.7,24999.95,0.0
2025-09-10 09:50:00+05:30,25004.05,25006.35,24989.95,24993.7,0.0
2025-09-10 09:45:00+05:30,25012.85,25017.4,24992.7,25003.7,0.0
2025-09-10 09:40:00+05:30,24994.3,25014.1,24990.0,25012.25,0.0
2025-09-10 09:35:00+05:30,24990.35,25000.25,24985.95,24994.45,0.0
2025-09-10 09:30:00+05:30,24990.9,24991.4,24981.15,24990.45,0.0
2025-09-10 09:25:00+05:30,24965.05,24991.3,24960.5,24990.65,0.0
2025-09-10 09:20:00+05:30,24963.0,24979.9,24959.75,24966.1,0.0
2025-09-10 09:15:00+05:30,24991.0,24992.8,24958.1,24962.65,0.0
